Uid,Time,Symbol,C/P,Trade,Side,Str,Spot,Exp,Size,Prems,Price,Bid,Ask,Vol,OI,Ivol,Label,Events,Details
14479219,2023-02-06 10:51:20,SPY,CALL,SWEEP,ABV ASK,409,410.04,2023-02-06,182,31.13K,1.71,1.69,1.71,52438,2081,26.87,,,
14479218,2023-02-06 10:51:20,SPY,CALL,SWEEP,TO ASK,445,410.05,2023-05-19,161,50.21K,3.12,3.08,3.12,1235,798,14.6,,,
14479209,2023-02-06 10:51:20,SPX,CALL,SPLIT,ABV ASK,4120,4110.21,2023-02-06,135,87.59K,6.49,6.3,6.4,11563,763,26.59,,,
14479204,2023-02-06 10:51:20,SPY,PUT,,,397,410,2023-02-13,761,42.62K,0.56,0.54,0.57,1028,344,18.96,OPENING,,
14479201,2023-02-06 10:51:20,NVDA,CALL,SWEEP,AT ASK,215,212.63,2023-02-10,121,54.45K,4.5,4.45,4.5,15162,4476,60.26,,,
14479200,2023-02-06 10:51:20,QQQ,CALL,SWEEP,,304,304.38,2023-02-17,420,273.85K,6.52,6.52,6.52,1122,4396,28.58,,,
14479191,2023-02-06 10:51:20,AMD,PUT,SPLIT,AT BID,80,84.61,2023-03-03,150,30.75K,2.05,2.05,2.06,209,522,46.71,,,
14479187,2023-02-06 10:51:20,ARRY,CALL,SWEEP,AT BID,20,21.03,2023-02-17,1160,197.20K,1.7,1.7,1.85,3478,1090,77.7,OPENING,,
14479179,2023-02-06 10:51:20,TSLA,CALL,SWEEP,TO ASK,195,193.43,2023-02-10,68,48.76K,7.17,7.05,7.2,34163,8851,92.68,,,
14479172,2023-02-06 10:51:20,META,CALL,SWEEP,ABV ASK,192.5,188.56,2023-02-10,230,69.00K,3,2.98,2.99,7058,3531,56.74,,,
14479168,2023-02-06 10:51:20,BX,PUT,SWEEP,AT BID,85,94.5,2023-09-15,117,73.71K,6.3,6.3,6.4,193,1372,38.75,,,
14479162,2023-02-06 10:51:20,CRWD,CALL,,AT ASK,120,113.14,2023-02-10,887,80.72K,0.91,0.9,0.91,3794,4490,64.5,,,
14479157,2023-02-06 10:51:20,VTRS,CALL,,AT BID,11,11.88,2023-03-03,250,26.25K,1.05,1.05,1.1,1048,0,41.24,OPENING,,
14479216,2023-02-06 10:51:19,SPY,PUT,SWEEP,BLW BID,410,409.83,2023-02-10,112,38.97K,3.48,3.53,3.55,12606,15470,20.21,,,
14479212,2023-02-06 10:51:19,SPY,CALL,SWEEP,ABV ASK,410,409.77,2023-02-06,837,87.85K,1.05,0.99,1,126113,2923,26.67,,,
14479199,2023-02-06 10:51:19,GOOGL,CALL,SWEEP,AT ASK,115,102.68,2023-03-17,1055,80.18K,0.76,0.75,0.76,3700,6318,30.34,,,
14479190,2023-02-06 10:51:19,AMD,PUT,SWEEP,AT BID,75,84.59,2023-06-16,66,31.02K,4.7,4.7,4.75,78,17132,48.47,,,
14479189,2023-02-06 10:51:19,AMD,PUT,SWEEP,,80,84.55,2023-02-10,1012,43.49K,0.43,0.43,0.44,5045,5261,54.13,,,
14479188,2023-02-06 10:51:19,QQQ,CALL,SWEEP,ABV ASK,304,304.19,2023-02-07,104,29.61K,2.85,2.73,2.75,5813,278,37.41,,,
14479184,2023-02-06 10:51:19,QQQ,CALL,SWEEP,ABV ASK,304,304.1,2023-02-06,293,42.43K,1.45,1.32,1.33,21046,710,41.57,,,
14479171,2023-02-06 10:51:19,TSLA,CALL,SWEEP,AT ASK,180,193.41,2023-02-10,97,155.20K,16,15.95,16,2800,7994,91.02,,,
14479170,2023-02-06 10:51:19,TSLA,CALL,SWEEP,ABV ASK,200,193.33,2023-02-10,80,42.39K,5.3,5.2,5.25,70398,28709,95.62,,,
14479164,2023-02-06 10:51:19,GOOGL,PUT,,AT BID,106,102.75,2023-02-17,121,53.24K,4.4,4.4,4.45,387,3094,35.07,,,
14479161,2023-02-06 10:51:19,ENPH,CALL,SPLIT,TO ASK,275,227.62,2023-02-10,100,31.87K,3.19,3,3.2,2276,247,162.85,,,
14479159,2023-02-06 10:51:19,GOOGL,PUT,,AT BID,107,102.73,2023-02-17,50,25.75K,5.15,5.15,5.2,238,899,35.26,,,
14479155,2023-02-06 10:51:19,DDOG,CALL,,AT ASK,90,78.32,2023-02-17,173,25.95K,1.5,1.42,1.5,1325,1722,92.4,,,
14479154,2023-02-06 10:51:19,AAPL,PUT,,AT BID,150,152.19,2023-02-10,200,28.00K,1.4,1.4,1.41,39701,31866,35.26,,,
14479153,2023-02-06 10:51:19,SPX,PUT,,ABV ASK,4075,4109.11,2023-02-06,150,29.25K,1.95,1.5,1.6,14767,6032,30.45,SPREAD,,
14479208,2023-02-06 10:51:18,SPY,CALL,SWEEP,ABV ASK,409,409.74,2023-02-06,302,47.21K,1.56,1.51,1.53,52254,2081,26.57,,,
14479177,2023-02-06 10:51:18,DIS,PUT,SWEEP,AT ASK,117,108.99,2023-02-17,117,106.47K,9.1,9,9.1,117,51,50.75,OPENING,,
14479176,2023-02-06 10:51:18,DIS,PUT,SWEEP,TO ASK,117,108.99,2023-02-24,519,479.53K,9.24,9.15,9.25,536,6,42.45,OPENING,,
